module,layer,param_count,kurtosis
self_attn.q_proj,0,67108864,50077.07020777786
self_attn.k_proj,0,8388608,39460.79179477061
self_attn.v_proj,0,8388608,9714.34062603725
self_attn.o_proj,0,67108864,10.904280975829113
mlp.gate_proj,0,234881024,152197.48465199952
mlp.down_proj,0,234881024,32.99856251662286
mlp.up_proj,0,234881024,119950.58806774796
self_attn.q_proj,1,67108864,7634.308020776232
self_attn.k_proj,1,8388608,4045.9008739798405
self_attn.v_proj,1,8388608,9760.690767305987
self_attn.o_proj,1,67108864,5.247417587827986
mlp.gate_proj,1,234881024,1677.4783417349631
mlp.down_proj,1,234881024,3.7038335284892256
mlp.up_proj,1,234881024,267.9390012342344
self_attn.q_proj,2,67108864,1373.5682851432819
self_attn.k_proj,2,8388608,1111.6096014243033
self_attn.v_proj,2,8388608,10306.363888292855
self_attn.o_proj,2,67108864,3.6552611309880483
mlp.gate_proj,2,234881024,851.6969454109125
mlp.down_proj,2,234881024,3.3072159525903313
mlp.up_proj,2,234881024,922.1415404404745
self_attn.q_proj,3,67108864,17541.425851319673
self_attn.k_proj,3,8388608,20784.26100605871
self_attn.v_proj,3,8388608,25673.00689440138
self_attn.o_proj,3,67108864,3.644268034206665
mlp.gate_proj,3,234881024,15691.560458318761
mlp.down_proj,3,234881024,40.45401999822738
mlp.up_proj,3,234881024,2539.000471338992
self_attn.q_proj,4,67108864,7.01199062448764
self_attn.k_proj,4,8388608,9.370548461185491
self_attn.v_proj,4,8388608,3.422610565498518
self_attn.o_proj,4,67108864,6.290687861578241
mlp.gate_proj,4,234881024,1590.719586515775
mlp.down_proj,4,234881024,3.816093831675206
mlp.up_proj,4,234881024,1277.63775095725
self_attn.q_proj,5,67108864,23.47911895266793
self_attn.k_proj,5,8388608,677.3984071986448
self_attn.v_proj,5,8388608,894.4273846075629
self_attn.o_proj,5,67108864,3.296181507520106
mlp.gate_proj,5,234881024,18141.760474590814
mlp.down_proj,5,234881024,5.569542037487064
mlp.up_proj,5,234881024,19741.460966568164
self_attn.q_proj,6,67108864,4.737472510077891
self_attn.k_proj,6,8388608,6.28482435030699
self_attn.v_proj,6,8388608,3.1949319558664526
self_attn.o_proj,6,67108864,3.1876794093984895
mlp.gate_proj,6,234881024,16.97415898400329
mlp.down_proj,6,234881024,3.107273236401777
mlp.up_proj,6,234881024,17.278935340937498
self_attn.q_proj,7,67108864,5.3062298822771
self_attn.k_proj,7,8388608,6.3989575820638755
self_attn.v_proj,7,8388608,3.319259655615111
self_attn.o_proj,7,67108864,3.2268536713778437
mlp.gate_proj,7,234881024,4.412707019425456
mlp.down_proj,7,234881024,3.2622001389028434
mlp.up_proj,7,234881024,4.453036431734782
self_attn.q_proj,8,67108864,4.225744503191156
self_attn.k_proj,8,8388608,5.538586485202242
self_attn.v_proj,8,8388608,3.145357959348748
self_attn.o_proj,8,67108864,3.3075502773385597
mlp.gate_proj,8,234881024,605.4065863153668
mlp.down_proj,8,234881024,3.148875135642212
mlp.up_proj,8,234881024,545.2094768954765
self_attn.q_proj,9,67108864,4.626318521871889
self_attn.k_proj,9,8388608,18.110182144188688
self_attn.v_proj,9,8388608,3.4127233382476083
self_attn.o_proj,9,67108864,3.343338909146038
mlp.gate_proj,9,234881024,41175.84235461787
mlp.down_proj,9,234881024,3.38088918027413
mlp.up_proj,9,234881024,43223.504083877364
self_attn.q_proj,10,67108864,4.661802680249256
self_attn.k_proj,10,8388608,5.933341926126116
self_attn.v_proj,10,8388608,3.287763426474098
self_attn.o_proj,10,67108864,3.198276928060741
mlp.gate_proj,10,234881024,4.2201623631799094
mlp.down_proj,10,234881024,3.1242473850967833
mlp.up_proj,10,234881024,4.260781494912422
self_attn.q_proj,11,67108864,4.326732839920102
self_attn.k_proj,11,8388608,96.2013334283494
