module,layer,param_count,kurtosis
self_attn.q_proj,0,16777216,60.17712647624026
self_attn.k_proj,0,4194304,28.653533803838418
self_attn.v_proj,0,4194304,8.059729712213453
self_attn.o_proj,0,16777216,7.374105781769602
mlp.gate_proj,0,58720256,4.0323653851586405
mlp.down_proj,0,58720256,3.707233609392377
mlp.up_proj,0,58720256,3.219435372098439
self_attn.q_proj,1,16777216,9.882409318565285
self_attn.k_proj,1,4194304,14.004439993846377
self_attn.v_proj,1,4194304,4.5242809141333105
self_attn.o_proj,1,16777216,5.883120015358403
mlp.gate_proj,1,58720256,6.47026818737708
mlp.down_proj,1,58720256,6.182068263853448
mlp.up_proj,1,58720256,3.3626831543529336
self_attn.q_proj,2,16777216,4.276679902027134
self_attn.k_proj,2,4194304,5.368743892037284
self_attn.v_proj,2,4194304,3.5271998190041502
self_attn.o_proj,2,16777216,5.694789583263856
mlp.gate_proj,2,58720256,3.3180077157362007
mlp.down_proj,2,58720256,3.4346853003610067
mlp.up_proj,2,58720256,3.1333503454620053
self_attn.q_proj,3,16777216,4.03470825398327
self_attn.k_proj,3,4194304,4.6939005125164694
self_attn.v_proj,3,4194304,3.2383937793350674
self_attn.o_proj,3,16777216,4.474048807385678
mlp.gate_proj,3,58720256,3.2683794510757465
mlp.down_proj,3,58720256,3.4870122305345976
mlp.up_proj,3,58720256,3.1619121034939885
self_attn.q_proj,4,16777216,4.513734556040291
self_attn.k_proj,4,4194304,5.218521983663884
self_attn.v_proj,4,4194304,3.2569268412693986
self_attn.o_proj,4,16777216,4.969638007437325
mlp.gate_proj,4,58720256,3.4401548297972213
mlp.down_proj,4,58720256,3.748635340149656
mlp.up_proj,4,58720256,3.2669290715700083
self_attn.q_proj,5,16777216,4.198458974702791
self_attn.k_proj,5,4194304,4.4313382483658215
self_attn.v_proj,5,4194304,3.1918263456913927
self_attn.o_proj,5,16777216,3.806947751504118
mlp.gate_proj,5,58720256,3.4465898185171104
mlp.down_proj,5,58720256,3.6304150103911246
mlp.up_proj,5,58720256,3.211178099274968
self_attn.q_proj,6,16777216,4.251021111217926
self_attn.k_proj,6,4194304,4.816587815629525
self_attn.v_proj,6,4194304,3.243378018226967
self_attn.o_proj,6,16777216,3.848549854772985
mlp.gate_proj,6,58720256,3.4439861956064015
mlp.down_proj,6,58720256,3.678341214148525
mlp.up_proj,6,58720256,3.27799880503302
self_attn.q_proj,7,16777216,4.535839111569815
self_attn.k_proj,7,4194304,5.411159083240771
self_attn.v_proj,7,4194304,3.3226809081885245
self_attn.o_proj,7,16777216,4.94906256800735
mlp.gate_proj,7,58720256,3.447043851785688
mlp.down_proj,7,58720256,3.4510594762783047
mlp.up_proj,7,58720256,3.3080114350162426
self_attn.q_proj,8,16777216,4.079127148250755
self_attn.k_proj,8,4194304,4.759867303124605
self_attn.v_proj,8,4194304,3.835431638020718
self_attn.o_proj,8,16777216,3.6581144114227935
mlp.gate_proj,8,58720256,3.4683366960354944
mlp.down_proj,8,58720256,3.911754138699287
mlp.up_proj,8,58720256,3.2793075409199934
self_attn.q_proj,9,16777216,4.900776106591824
self_attn.k_proj,9,4194304,5.073599191983385
self_attn.v_proj,9,4194304,3.3616271718785518
self_attn.o_proj,9,16777216,3.5757431668604696
mlp.gate_proj,9,58720256,3.5220311615172815
mlp.down_proj,9,58720256,3.7145987045082647
mlp.up_proj,9,58720256,3.289410238555988
self_attn.q_proj,10,16777216,4.169503684933775
self_attn.k_proj,10,4194304,4.541564090996692
self_attn.v_proj,10,4194304,3.547738011233978
self_attn.o_proj,10,16777216,3.6995600492122764
mlp.gate_proj,10,58720256,3.6246815841079987
mlp.down_proj,10,58720256,4.0127317494008325
mlp.up_proj,10,58720256,3.3159073681090967
self_attn.q_proj,11,16777216,4.771900939822997
self_attn.k_proj,11,4194304,5.415683478268487
self_attn.v_proj,11,4194304,3.627483928427408
self_attn.o_proj,11,16777216,4.175675158410296
