module,layer,param_count,kurtosis
self_attn.q_proj,0,10485760,4.253318805190092
self_attn.k_proj,0,2621440,3.7371099967768204
self_attn.v_proj,0,2621440,3.2497736282064644
self_attn.o_proj,0,10485760,5.790140317872634
mlp.gate_proj,0,24903680,3.329197014750964
mlp.down_proj,0,24903680,4.0266069238996876
mlp.up_proj,0,24903680,3.2023532325987625
self_attn.q_proj,1,10485760,3.942629984731793
self_attn.k_proj,1,2621440,3.6934736819533662
self_attn.v_proj,1,2621440,3.3844862716334356
self_attn.o_proj,1,10485760,4.179547296478103
mlp.gate_proj,1,24903680,5.586620360872403
mlp.down_proj,1,24903680,8.229085632921839
mlp.up_proj,1,24903680,6.531721577664805
self_attn.q_proj,2,10485760,3.8477474438324237
self_attn.k_proj,2,2621440,4.837453806648587
self_attn.v_proj,2,2621440,3.266851845861394
self_attn.o_proj,2,10485760,3.5707977078519932
mlp.gate_proj,2,24903680,6.541330336381953
mlp.down_proj,2,24903680,9.076448257748993
mlp.up_proj,2,24903680,7.3873809123276715
self_attn.q_proj,3,10485760,4.034066461648582
self_attn.k_proj,3,2621440,4.373236014254
self_attn.v_proj,3,2621440,3.4195500265551213
self_attn.o_proj,3,10485760,4.104747081041226
mlp.gate_proj,3,24903680,4.414650644593131
mlp.down_proj,3,24903680,5.596984747479932
mlp.up_proj,3,24903680,4.988010863238269
self_attn.q_proj,4,10485760,3.9839481305394617
self_attn.k_proj,4,2621440,5.93174281605637
self_attn.v_proj,4,2621440,3.2583588658220624
self_attn.o_proj,4,10485760,3.804437427409464
mlp.gate_proj,4,24903680,3.4044513453376832
mlp.down_proj,4,24903680,4.970867305396444
mlp.up_proj,4,24903680,3.566975321400291
self_attn.q_proj,5,10485760,4.24665578233011
self_attn.k_proj,5,2621440,4.467094170549161
self_attn.v_proj,5,2621440,3.3754332335521346
self_attn.o_proj,5,10485760,4.264408945563392
mlp.gate_proj,5,24903680,4.169316352335702
mlp.down_proj,5,24903680,4.490748530077453
mlp.up_proj,5,24903680,3.3983461139482207
self_attn.q_proj,6,10485760,4.78159224013428
self_attn.k_proj,6,2621440,3.9222697917200775
self_attn.v_proj,6,2621440,3.9689292399896097
self_attn.o_proj,6,10485760,7.616362648534986
mlp.gate_proj,6,24903680,3.5972980032689454
mlp.down_proj,6,24903680,4.675597348123977
mlp.up_proj,6,24903680,3.3313798413563074
self_attn.q_proj,7,10485760,4.243212815144079
self_attn.k_proj,7,2621440,5.103183171507923
self_attn.v_proj,7,2621440,3.416362924014573
self_attn.o_proj,7,10485760,4.081488377017616
mlp.gate_proj,7,24903680,3.54359890210121
mlp.down_proj,7,24903680,3.5973531932627076
mlp.up_proj,7,24903680,3.320837974969858
self_attn.q_proj,8,10485760,4.014793538243717
self_attn.k_proj,8,2621440,4.015997455633962
self_attn.v_proj,8,2621440,3.280119535296401
self_attn.o_proj,8,10485760,3.445478826724856
mlp.gate_proj,8,24903680,3.357522659128114
mlp.down_proj,8,24903680,3.71810535694023
mlp.up_proj,8,24903680,3.310220050292468
self_attn.q_proj,9,10485760,4.629543178424452
self_attn.k_proj,9,2621440,8.965207445713958
self_attn.v_proj,9,2621440,3.6839053999905995
self_attn.o_proj,9,10485760,3.8164099674064618
mlp.gate_proj,9,24903680,3.61624275395672
mlp.down_proj,9,24903680,3.58709824156339
mlp.up_proj,9,24903680,3.3481070511248343
self_attn.q_proj,10,10485760,4.054727966254171
self_attn.k_proj,10,2621440,4.134356050553003
self_attn.v_proj,10,2621440,3.6043397323828397
self_attn.o_proj,10,10485760,4.294208658053437
mlp.gate_proj,10,24903680,3.6116888754558714
mlp.down_proj,10,24903680,3.7485942827259757
mlp.up_proj,10,24903680,3.435034460221979
self_attn.q_proj,11,10485760,4.41484425679344
self_attn.k_proj,11,2621440,6.083418245745321
self_attn.v_proj,11,2621440,3.5624439133681007
self_attn.o_proj,11,10485760,3.7315716395629126
mlp.gate_proj,11,24903680,3.570623248031814
mlp.down_proj,11,24903680,3.6825707299419514
mlp.up_proj,11,24903680,3.3858486914346173
self_attn.q_proj,12,10485760,4.427213829781026
