module,layer,param_count,kurtosis
self_attn.q_proj,0,16777216,70.89063407817052
self_attn.k_proj,0,16777216,38.24344781783628
self_attn.v_proj,0,16777216,6.17988231863005
self_attn.o_proj,0,16777216,39.606632106657415
mlp.gate_proj,0,45088768,4.269190067451742
mlp.down_proj,0,45088768,3.9410243132303155
mlp.up_proj,0,45088768,3.1257809370322978
self_attn.q_proj,1,16777216,9.506592860422103
self_attn.k_proj,1,16777216,9.935371374026081
self_attn.v_proj,1,16777216,4.8384166345295005
self_attn.o_proj,1,16777216,26.69787713965271
mlp.gate_proj,1,45088768,6.280002848563622
mlp.down_proj,1,45088768,7.5802935382124135
mlp.up_proj,1,45088768,3.4447561314119977
self_attn.q_proj,2,16777216,5.845498006156931
self_attn.k_proj,2,16777216,5.422568329046552
self_attn.v_proj,2,16777216,3.1704948733015765
self_attn.o_proj,2,16777216,7.172113174858918
mlp.gate_proj,2,45088768,3.252795019767423
mlp.down_proj,2,45088768,3.5000946352030273
mlp.up_proj,2,45088768,3.0643926831566968
self_attn.q_proj,3,16777216,5.747449112728132
self_attn.k_proj,3,16777216,4.552550541532545
self_attn.v_proj,3,16777216,3.2101376661454877
self_attn.o_proj,3,16777216,6.738655132097817
mlp.gate_proj,3,45088768,3.2690103679987637
mlp.down_proj,3,45088768,3.522186223965613
mlp.up_proj,3,45088768,3.11530955415524
self_attn.q_proj,4,16777216,5.076595574419752
self_attn.k_proj,4,16777216,4.330934358734191
self_attn.v_proj,4,16777216,3.12290612284217
self_attn.o_proj,4,16777216,5.993817704977201
mlp.gate_proj,4,45088768,3.3662009159295945
mlp.down_proj,4,45088768,3.9507138760715965
mlp.up_proj,4,45088768,3.103154995797977
self_attn.q_proj,5,16777216,4.239130739572246
self_attn.k_proj,5,16777216,4.1880352601972435
self_attn.v_proj,5,16777216,3.166712534307685
self_attn.o_proj,5,16777216,5.158751141507659
mlp.gate_proj,5,45088768,3.3132728389187305
mlp.down_proj,5,45088768,3.5031316078707673
mlp.up_proj,5,45088768,3.1074866507472088
self_attn.q_proj,6,16777216,4.859155894110683
self_attn.k_proj,6,16777216,4.478034883058803
self_attn.v_proj,6,16777216,3.301832949774581
self_attn.o_proj,6,16777216,7.088338485259551
mlp.gate_proj,6,45088768,3.3562287806004885
