module,layer,param_count,kurtosis
self_attn.q_proj,0,16777216,3.864092441642656
self_attn.k_proj,0,4194304,3.7046821497232765
self_attn.v_proj,0,4194304,3.2112015050970926
self_attn.o_proj,0,16777216,6.02550824325884
mlp.gate_proj,0,50331648,3.451993675099092
mlp.down_proj,0,50331648,4.284477258372157
mlp.up_proj,0,50331648,3.1851647403250443
self_attn.q_proj,1,16777216,3.9510820911231272
self_attn.k_proj,1,4194304,3.6922393304518124
self_attn.v_proj,1,4194304,3.370965129122138
self_attn.o_proj,1,16777216,4.229415165768315
mlp.gate_proj,1,50331648,7.558844466927812
mlp.down_proj,1,50331648,18.76067331126324
mlp.up_proj,1,50331648,8.104475258985456
self_attn.q_proj,2,16777216,3.792258387483579
self_attn.k_proj,2,4194304,4.550589064703088
self_attn.v_proj,2,4194304,3.222944276465546
self_attn.o_proj,2,16777216,3.4884198215917497
mlp.gate_proj,2,50331648,12.566648713678198
mlp.down_proj,2,50331648,16.303430607179564
mlp.up_proj,2,50331648,15.339967350428621
self_attn.q_proj,3,16777216,3.900521003649076
self_attn.k_proj,3,4194304,4.201288472124406
self_attn.v_proj,3,4194304,3.40065694488233
self_attn.o_proj,3,16777216,4.112928211364129
mlp.gate_proj,3,50331648,5.81741559064988
mlp.down_proj,3,50331648,7.779045245176896
mlp.up_proj,3,50331648,6.42665684847997
self_attn.q_proj,4,16777216,3.845767181647875
self_attn.k_proj,4,4194304,4.663126335735003
self_attn.v_proj,4,4194304,3.245405426270338
self_attn.o_proj,4,16777216,3.88178673017547
mlp.gate_proj,4,50331648,3.8585211311274463
mlp.down_proj,4,50331648,5.846305503008854
mlp.up_proj,4,50331648,3.802223003786185
self_attn.q_proj,5,16777216,4.04483246498864
self_attn.k_proj,5,4194304,4.237208793433962
self_attn.v_proj,5,4194304,3.353828417782037
self_attn.o_proj,5,16777216,4.493066764251958
mlp.gate_proj,5,50331648,3.972785760948491
mlp.down_proj,5,50331648,5.243240152428123
mlp.up_proj,5,50331648,3.3468623009892142
self_attn.q_proj,6,16777216,5.350845246887842
self_attn.k_proj,6,4194304,3.8276161626518665
self_attn.v_proj,6,4194304,3.8167932297528466
